# name                   	type      	redshift  	max_date  	discovery_date
#<U25                    	<U10      	<10       	<10       	<10       
2020tcw                  SLSN-I    0.0645    2020-10-10          2020-09-01          
2021ejo                  SLSN-I    0.44      2021-03-20          2021-01-03          
PTF10uhf                 SLSN-I    0.2879    2010-09-18          2010-08-25          
2024amf                  SLSN-I    0.1       unknown             2024-01-18          
2013hy                   SLSN-I    0.663     2013-09-25          2013-08-11          
PTF11hrq                 SLSN-I    0.057     2011-07-11          2011-07-11          
2023aafk                 SLSN-I    0.2455    unknown             2023-12-13          
PS1-13gt                 SLSN-I    0.884     2013-01-15          2012-11-24          
PTF12gty                 SLSN-I    0.1768    2012-07-30          2012-06-08          
PTF12mxx                 SLSN-I    0.3274    2012-12-10          2012-11-08          
2021ybf                  SLSN-I    0.13      2021-09-20          2021-07-25          
2019lsq                  SLSN-I    0.14      2019-08-14          2019-07-02          
2019aamp                 SLSN-I    0.404     2019-04-12          2019-03-02          
2024lch                  SLSN-I    0.402     unknown             2024-06-06          
2018kyt                  SLSN-I    0.108     2019-01-19          2018-12-08          
2024aezo                 SLSN-I    0.4227    unknown             2024-12-26          
2022lxd                  SLSN-I    0.54      2022-07-05          2022-05-07          
2025aidq                 SLSN-I    0.097     unknown             2025-11-30          
2025afcr                 SLSN-I    0.1335    unknown             2025-11-24          
2021gtr                  SLSN-I    0.303     2021-01-28          2020-09-20          
2020qef                  SLSN-I    0.183     2020-08-15          2020-06-17          
2018lzw                  SLSN-I    0.32      2018-08-25          2018-06-22          
2019aanx                 SLSN-I    0.403     unknown             2019-10-05          
DES15S2nr                SLSN-I    0.22      unknown             2015-08-17             
2023zzn                  SLSN-I    0.094     unknown             2023-12-11          
2019unb                  SLSN-I    0.0635    2019-12-09          2019-10-08          
2010hy                   SLSNI     0.1901    2010-09-07          2010-09-04          
2024jwx                  SLSN-I    0.13      unknown             2024-05-14          
2020rmv                  SLSN-I    0.27      2020-09-26          2020-07-15          
OGLE15sd                 SLSN-I    0.565     2015-11-28          2015-11-07          
iPTF14dek                SLSN-I    0.332     unknown             unknown             
2026ejf                  SLSN-I    0.96      unknown             2026-02-25          
2021nxq                  SLSN-I    0.15      2021-07-29          2021-05-03          
2019J                    SLSN-I    0.12      2019-02-22          2018-12-29          
PS1-10ky                 SLSN-I    0.96      2010-07-16          2010-06-20          
2020abjc                 SLSN-I    0.2192    2021-01-29          2020-09-20          
2023taz                  SLSN-I    0.42      unknown             2023-09-12          
2022aawb                 SLSN-I    0.13      2022-12-29          2022-11-06          
2017beq                  SLSN-I    0.31      2017-03-28          2016-10-31          
2019cca                  SLSN-I    0.42      2019-03-13          2019-01-23          
